nome_ingrediente;ordine;costo_eur;abbondante;senza;poco;va_in_cottura;prep_cucina;Glutine;Crostacei;Uova;Pesce;Soia;Latte;Frutta a guscio;Sedano;Senape;Sesamo;Solfiti;Lupini;Molluschi
Acciughe;11;1.20;0.50;-1.20;-0.50;1;0;;;;1;;;;;;;;;
Aglio;12;0.20;0.30;-0.20;-0.20;1;0;;;;;;;;;;;;;
Basilico;105;0.20;0.30;-0.20;-0.20;0;0;;;;;;;;;;;;;
Bresaola;100;2.50;1.00;-2.50;-1.00;0;1;;;;;1;;1;;;;;;
Capperi;10;0.80;0.40;-0.80;-0.40;1;0;;;;1;;;;;;;;;
Carciofi;4;1.00;0.50;-1.00;-0.50;1;0;;;;;;;;;;;;;
Cipolla;16;1.20;0.50;-1.20;-0.50;1;0;;;;;;;;;;;;;
Funghi;3;1.00;0.50;-1.00;-0.50;1;0;;;;;;;;;;;;;
Gamberetti;18;1.60;0.60;-1.60;-0.60;1;1;;1;;1;;;;;;;;;1
Gorgonzola;9;1.20;0.50;-1.20;-0.50;1;0;;;;;;1;;;;;;;
Grana;102;1.20;0.50;-1.20;-0.50;0;0;;;;;;1;;;;;;;
Mais;23;1.20;0.50;-1.20;-0.50;1;1;;;;;;;;;;;;;
Melanzane;14;1.20;0.50;-1.20;-0.50;1;0;;;;;;;;;;;;;
Mozzarella;1;1.50;0.30;-0.80;-0.30;1;0;;;;;;1;;;;;;;
Olive nere;5;1.00;0.50;-1.00;-0.20;1;0;;;;;;;;;;;;;
Pancetta Doppia stufata;2;2.50;1.00;-2.50;-1.00;1;0;;;;;;;;;;;;;
Panna;21;1.00;0.50;-1.00;-0.50;1;1;;;;;;1;;;;;;;
Parmigiano;24;1.20;0.50;-1.20;-0.50;1;0;;;;;;1;;;;;;;
Patatine fritte;102;1.20;0.50;-1.20;-0.50;0;1;;;;;;;;;;;;;
Peperoncino;13;0.20;0.30;-0.20;-0.20;1;0;;;;;;;;;;;;;
Pomodoro;0;0.80;0.20;-0.40;-0.20;1;0;;;;;1;;1;;;;;;
Prosciutto cotto;2;1.20;0.60;-1.20;-0.60;1;0;;;;;;;;;;1;;;
Prosciutto crudo;100;2.50;1.00;-2.50;-1.00;0;1;;;;;;;;;;;;;
Ricotta;22;1.20;0.50;-1.20;-0.50;1;1;;;;;;1;;;;;;;
Rucola;101;1.00;0.50;-1.00;-0.50;0;1;;;;;;;;;;;;;
Salamino piccante;19;1.20;0.50;-1.20;-0.50;1;0;;;;;;;;;;;;;
Salsiccia;6;1.20;0.50;-1.20;-0.50;1;0;;;;;;;;;;;;;
Speck;100;2.50;1.00;-2.50;-1.00;0;1;;;;;;;;;;;;;
Stracchino;17;1.20;0.50;-1.20;-0.50;1;1;;;;;;1;;;;;;;
Tonno;8;1.20;0.50;-1.20;-0.50;1;0;;;;1;;;;;;;;;
Uovo;20;0.80;1.60;-1.60;0.00;1;1;;;;;1;;;;;;;;
Wurstel;7;1.20;0.50;-1.20;-0.50;1;0;1;;;;;;;;;;1;;
Zucchine;15;1.20;0.50;-1.20;-0.50;1;0;;;;;;;;;;;;;
