nome_ingrediente;ordine;costo_eur;abbondante;senza;poco;va_in_cottura;Glutine;Crostacei;Uova;Pesce;Soia;Latte;Frutta a guscio;Sedano;Senape;Sesamo;Solfiti;Lupini;Molluschi
Pomodoro;0;0,40;0,20;-0,40;-0,15;1;;;;;;;;;;;;;;;
Mozzarella;0;0,80;0,25;-0,80;-0,20;0;;;;;;1;;;;;;;;;;
Basilico;0;0,15;0,25;-0,15;-0,10;0;;;;;;;;;;;;;;;;
Olive nere;0;0,35;0,25;-0,35;-0,15;0;;;;;;;;;;;;;;;;
Capperi;0;0,25;0,25;-0,25;-0,10;0;;;;1;;;;;;;;;;;
Funghi;0;0,45;0,30;-0,45;-0,20;1;;;;;;;;;;;;;;;;
Carciofi;0;0,50;0,30;-0,50;-0,20;1;;;;;;;;;;;;;;;;
Prosciutto cotto;0;0,70;0,35;-0,70;-0,25;0;;;;;;;;;;1;;;;;;;
Prosciutto crudo;0;0,90;0,45;-0,90;-0,35;0;;;;;;;;;;;;;;;;
Salsiccia;0;0,60;0,35;-0,60;-0,25;0;;;;;;;;;;;;;;;;
Wurstel;0;0,40;0,25;-0,40;-0,15;0;1;;;;;;;;;;1;;;;;;
Tonno;0;0,65;0,35;-0,65;-0,25;0;;;;1;;;;;;;;;;;
Gorgonzola;0;0,55;0,30;-0,55;-0,20;1;;;;;;1;;;;;;;;;;
Rucola;0;0,20;0,15;-0,20;-0,10;0;;;;;;;;;;;;;;;;
Grana;0;0,50;0,30;-0,50;-0,20;0;;;;;;1;;;;;;;;;;
Acciughe;0;0,45;0,25;-0,45;-0,15;0;;;;1;;;;;;;;;;;
Aglio;0;0,05;0,10;-0,05;-0,02;1;;;;;;;;;;;;;;;;
Peperoncino;0;0,05;0,10;-0,05;-0,02;0;;;;;;;;;;;;;;;;
Zucchine;0;0,35;0,25;-0,35;-0,15;1;;;;;;;;;;;;;;;;
Melanzane;0;0,35;0,25;-0,35;-0,15;1;;;;;;;;;;;;;;;;
Cipolla;0;0,15;0,15;-0,15;-0,08;1;;;;;;;;;;;;;;;;
Patatine fritte;0;0,30;0,25;-0,30;-0,15;0;;;;;;;;;;;;;;;;
Uovo;0;0,40;0,25;-0,40;-0,15;1;;;;;1;;;;;;;;;;
Panna;0;0,35;0,20;-0,35;-0,15;0;;;;;;1;;;;;;;;;;
Speck;0;0,75;0,40;-0,75;-0,30;0;;;;;;;;;;;;;;;;
Bresaola;0;0,80;0,40;-0,80;-0,30;0;;;;;;;;;;;;;;;;
Stracchino;0;0,50;0,30;-0,50;-0,20;1;;;;;;1;;;;;;;;;;
Gamberetti;0;0,85;0,45;-0,85;-0,35;0;1;;;;;;;;;;;;;;;
Salamino piccante;0;0,60;0,35;-0,60;-0,25;0;;;;;;;;;;;;;;;;
Parmigiano;0;0,45;0,25;-0,45;-0,18;0;;;;;;1;;;;;;;;;;
Ricotta;0;0,40;0,25;-0,40;-0,15;0;;;;;;1;;;;;;;;;;
Pancetta;0;0,55;0,30;-0,55;-0,22;1;;;;;;;;;;;;;;;;
Salamino;0;0,50;0,30;-0,50;-0,20;0;;;;;;;;;;;;;;;;
Mais;0;0,25;0,20;-0,25;-0,10;0;;;;;;;;;;;;;;;
