nome_ingrediente;ordine;costo_eur;abbondante;senza;poco;va_in_cottura;Glutine;Crostacei;Uova;Pesce;Soia;Latte;Frutta a guscio;Sedano;Senape;Sesamo;Solfiti;Lupini;Molluschi
Pomodoro;0;0,40;0,20;-0,40;-0,20;1;;;;;;;;;;;;;
Mozzarella;1;0,80;0,30;-0,80;-0,30;1;;;;;;1;;;;;;;
Basilico;105;0,20;0,30;-0,20;-0,20;0;;;;;;;;;;;;;
Olive nere;5;1,00;0,50;-1,00;-0,20;1;;;;;;;;;;;;;
Capperi;10;0,80;0,40;-0,80;-0,40;1;;;;1;;;;;;;;;
Funghi;3;1,00;0,50;-1,00;-0,50;1;;;;;;;;;;;;;
Carciofi;4;1,00;0,50;-1,00;-0,50;1;;;;;;;;;;;;;
Prosciutto cotto;2;1,20;0,60;-1,20;-0,60;1;;;;;;;;;;1;;;
Prosciutto crudo;100;2,50;1,00;-2,50;-1,00;0;;;;;;;;;;;;;
Salsiccia;6;1,20;0,50;-1,20;-0,50;1;;;;;;;;;;;;;
Wurstel;7;1,20;0,50;-1,20;-0,50;1;1;;;;;;;;;;1;;
Tonno;8;1,20;0,50;-1,20;-0,50;1;;;;1;;;;;;;;;
Gorgonzola;9;1,20;0,50;-1,20;-0,50;1;;;;;;1;;;;;;;
Rucola;101;1,00;0,50;-1,00;-0,50;0;;;;;;;;;;;;;
Grana;102;1,20;0,50;-1,20;-0,50;0;;;;;;1;;;;;;;
Acciughe;11;1,20;0,50;-1,20;-0,50;1;;;;1;;;;;;;;;
Aglio;12;0,20;0,30;-0,20;-0,20;1;;;;;;;;;;;;;
Peperoncino;13;0,20;0,30;-0,20;-0,20;1;;;;;;;;;;;;;
Zucchine;15;1,20;0,50;-1,20;-0,50;1;;;;;;;;;;;;;
Melanzane;14;1,20;0,50;-1,20;-0,50;1;;;;;;;;;;;;;
Cipolla;16;1,20;0,50;-1,20;-0,50;1;;;;;;;;;;;;;
Patatine fritte;102;1,20;0,50;-1,20;-0,50;0;;;;;;;;;;;;;
Uovo;20;0,80;1,60;-1,60;0,00;1;;;;;1;;;;;;;;
Panna;21;1,00;0,50;-1,00;-0,50;1;;;;;;1;;;;;;;
Speck;100;2,50;1,00;-2,50;-1,00;0;;;;;;;;;;;;;
Bresaola;100;2,50;1,00;-2,50;-1,00;0;;;;;;;;;;;;;
Stracchino;17;1,20;0,50;-1,20;-0,50;1;;;;;;1;;;;;;;
Gamberetti;18;1,60;0,60;-1,60;-0,60;1;1;;;;;;;;;;;;
Salamino piccante;19;1,20;0,50;-1,20;-0,50;1;;;;;;;;;;;;;
Parmigiano;24;1,20;0,50;-1,20;-0,50;1;;;;;;1;;;;;;;
Ricotta;22;1,20;0,50;-1,20;-0,50;1;;;;;;1;;;;;;;
Pancetta Doppia stufata;2;2,50;1,00;-2,50;-1,00;1;;;;;;;;;;;;;
Mais;23;1,20;0,50;-1,20;-0,50;1;;;;;;;;;;;;;
